"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-323b-3p",-0.4915042875,0.962502364705882,-3.86900591554479,0.00127034508928783,0.998696018210155,-3.17688126715125
"hsa-miR-1261",-0.336109411111111,0.632593776470588,-3.22266058065024,0.00509525142907604,0.998696018210155,-3.5105083681341
"hsa-miR-3186-3p",0.280137768055556,0.640115482352941,3.18732529738994,0.00549477404527779,0.998696018210155,-3.52956619557182
"hsa-miR-4288",-0.342181838194445,0.526014097058824,-3.09610939512626,0.0066739383997345,0.998696018210155,-3.57906738269026
"hsa-miR-299-5p",0.366590276388889,0.648474682352941,3.09173987317908,0.00673626056078969,0.998696018210155,-3.58144898932205
"hsa-miR-619",-0.339622750833333,0.453779062352941,-3.07540057657302,0.00697439709420918,0.998696018210155,-3.59036261703525
"hsa-miR-587",0.322851981944444,0.6592375,3.0140761884838,0.00794385922931621,0.998696018210155,-3.62392305510331
"hsa-miR-10b-star",0.327388116666667,0.820076029411765,2.96394720286153,0.0088329779913484,0.998696018210155,-3.6514710893581
"hsa-miR-220a",-0.301394194444444,0.829067082352941,-2.93809386719891,0.00932868553218965,0.998696018210155,-3.6657149490436
"hsa-miR-520c-5p",0.245853341666667,0.491508623529412,2.80974012929248,0.012217742499652,0.998696018210155,-3.73673526469646
"hsa-miR-4327",0.242158163888889,0.689725594117647,2.80066825687366,0.012451858491733,0.998696018210155,-3.74177074574613
"hsa-miR-654-5p",0.471384880555556,0.880746723529412,2.73209211573792,0.0143669964247289,0.998696018210155,-3.7798840345568
"hsa-miR-613",-0.268561455555556,0.608161294117647,-2.72123716326814,0.0146950293713755,0.998696018210155,-3.78592358774935
"hsa-miR-24-2-star",0.609277627777778,1.00979060588235,2.65441303899423,0.0168784484508438,0.998696018210155,-3.82312926936454
"hsa-miR-766",0.613230661111111,1.64199872352941,2.6515356502264,0.0169791224977997,0.998696018210155,-3.82473199606862
"hsa-miR-98",0.396696066666667,0.822693035294118,2.59852404367995,0.0189398565846709,0.998696018210155,-3.85426282698348
"hsa-miR-586",-0.275028205555555,0.623206017647059,-2.57222352583791,0.0199910368931448,0.998696018210155,-3.86891253188277
"hsa-miR-664",0.312625238888889,0.853279570588235,2.5652948145712,0.0202770734320928,0.998696018210155,-3.87277135172276
"hsa-miR-132-star",-0.319724747222222,0.513314417647059,-2.54518783924112,0.0211293458769739,0.998696018210155,-3.88396764893495
"hsa-miR-1252",-0.285373688888889,0.620547388235294,-2.46489971901429,0.0248833961066127,0.998696018210155,-3.92862806490557
"hsa-miR-3133",0.211158734722222,0.672797994117647,2.45624679698831,0.0253236801553452,0.998696018210155,-3.93343495425505
"hsa-miR-526b-star",-0.196793784722222,0.597208782352941,-2.42974614407527,0.0267182686538041,0.998696018210155,-3.94814660337228
"hsa-miR-520e",0.375929308333333,0.617978876470588,2.42330035862677,0.0270682525294518,0.998696018210155,-3.95172244285451
"hsa-let-7i-star",0.270747004166667,0.680663588235294,2.40886876046997,0.0278675442380967,0.998696018210155,-3.95972459625977
"hsa-miR-204",-0.361141035555556,0.667091832941176,-2.32720967538553,0.0328237808480905,0.998696018210155,-4.00488400762368
"hsa-miR-495",0.372597831944444,0.840812311764706,2.32500858525062,0.0329681459571882,0.998696018210155,-4.00609801495119
"hsa-miR-224",0.318908086111111,0.633585582352941,2.31506646290967,0.0336276452689184,0.998696018210155,-4.01157917487994
"hsa-miR-320a",-1.202468,8.05190570588235,-2.31475253004237,0.0336486687553788,0.998696018210155,-4.01175218322108
"hsa-miR-193b-star",-0.256752233333333,0.853020752941176,-2.27465073991903,0.0364372290754584,0.998696018210155,-4.03381752503282
"hsa-miR-675",0.328459548611111,0.700641588235294,2.24187043525207,0.0388746699300139,0.998696018210155,-4.05179871713903
"hsa-miR-371-3p",-0.329925438333333,0.717074203529412,-2.23251244124109,0.0395977451426159,0.998696018210155,-4.05692191036984
"hsa-miR-190b",-0.235129173611111,0.673916288235294,-2.22737840165949,0.0399997132796671,0.998696018210155,-4.05973064878495
