"","Run","Sex","age","genotype","Name","Repeated","filename","Files"
"121","SRR1794393","female","2m","Q92","female_Q92_2m","female_Q92_2m_1R","SRR1794393_female_Q92_2m_1R","SRR1794393_female_Q92_2m_1R"
"122","SRR1794394","female","2m","Q92","female_Q92_2m","female_Q92_2m_2R","SRR1794394_female_Q92_2m_2R","SRR1794394_female_Q92_2m_2R"
"123","SRR1794395","female","2m","Q92","female_Q92_2m","female_Q92_2m_3R","SRR1794395_female_Q92_2m_3R","SRR1794395_female_Q92_2m_3R"
"124","SRR1794396","female","2m","Q92","female_Q92_2m","female_Q92_2m_4R","SRR1794396_female_Q92_2m_4R","SRR1794396_female_Q92_2m_4R"
"125","SRR1794397","male","2m","Q92","male_Q92_2m","male_Q92_2m_1R","SRR1794397_male_Q92_2m_1R","SRR1794397_male_Q92_2m_1R"
"126","SRR1794398","male","2m","Q92","male_Q92_2m","male_Q92_2m_2R","SRR1794398_male_Q92_2m_2R","SRR1794398_male_Q92_2m_2R"
"127","SRR1794399","male","2m","Q92","male_Q92_2m","male_Q92_2m_3R","SRR1794399_male_Q92_2m_3R","SRR1794399_male_Q92_2m_3R"
"128","SRR1794400","male","2m","Q92","male_Q92_2m","male_Q92_2m_4R","SRR1794400_male_Q92_2m_4R","SRR1794400_male_Q92_2m_4R"
"129","SRR1794401","female","6m","Q92","female_Q92_6m","female_Q92_6m_1R","SRR1794401_female_Q92_6m_1R","SRR1794401_female_Q92_6m_1R"
"130","SRR1794402","female","6m","Q92","female_Q92_6m","female_Q92_6m_2R","SRR1794402_female_Q92_6m_2R","SRR1794402_female_Q92_6m_2R"
"131","SRR1794403","female","6m","Q92","female_Q92_6m","female_Q92_6m_3R","SRR1794403_female_Q92_6m_3R","SRR1794403_female_Q92_6m_3R"
"132","SRR1794404","female","6m","Q92","female_Q92_6m","female_Q92_6m_4R","SRR1794404_female_Q92_6m_4R","SRR1794404_female_Q92_6m_4R"
"133","SRR1794405","male","6m","Q92","male_Q92_6m","male_Q92_6m_1R","SRR1794405_male_Q92_6m_1R","SRR1794405_male_Q92_6m_1R"
"134","SRR1794406","male","6m","Q92","male_Q92_6m","male_Q92_6m_2R","SRR1794406_male_Q92_6m_2R","SRR1794406_male_Q92_6m_2R"
"135","SRR1794407","male","6m","Q92","male_Q92_6m","male_Q92_6m_3R","SRR1794407_male_Q92_6m_3R","SRR1794407_male_Q92_6m_3R"
"136","SRR1794408","male","6m","Q92","male_Q92_6m","male_Q92_6m_4R","SRR1794408_male_Q92_6m_4R","SRR1794408_male_Q92_6m_4R"
"137","SRR1794409","female","10m","Q92","female_Q92_10m","female_Q92_10m_1R","SRR1794409_female_Q92_10m_1R","SRR1794409_female_Q92_10m_1R"
"138","SRR1794410","female","10m","Q92","female_Q92_10m","female_Q92_10m_2R","SRR1794410_female_Q92_10m_2R","SRR1794410_female_Q92_10m_2R"
"139","SRR1794411","female","10m","Q92","female_Q92_10m","female_Q92_10m_3R","SRR1794411_female_Q92_10m_3R","SRR1794411_female_Q92_10m_3R"
"140","SRR1794412","female","10m","Q92","female_Q92_10m","female_Q92_10m_4R","SRR1794412_female_Q92_10m_4R","SRR1794412_female_Q92_10m_4R"
"141","SRR1794413","male","10m","Q92","male_Q92_10m","male_Q92_10m_1R","SRR1794413_male_Q92_10m_1R","SRR1794413_male_Q92_10m_1R"
"142","SRR1794414","male","10m","Q92","male_Q92_10m","male_Q92_10m_2R","SRR1794414_male_Q92_10m_2R","SRR1794414_male_Q92_10m_2R"
"143","SRR1794415","male","10m","Q92","male_Q92_10m","male_Q92_10m_3R","SRR1794415_male_Q92_10m_3R","SRR1794415_male_Q92_10m_3R"
"144","SRR1794416","male","10m","Q92","male_Q92_10m","male_Q92_10m_4R","SRR1794416_male_Q92_10m_4R","SRR1794416_male_Q92_10m_4R"
"145","SRR1794417","female","2m","WT","female_WT_2m","female_WT_2m_1R","SRR1794417_female_WT_2m_1R","SRR1794417_female_WT_2m_1R"
"146","SRR1794418","female","2m","WT","female_WT_2m","female_WT_2m_2R","SRR1794418_female_WT_2m_2R","SRR1794418_female_WT_2m_2R"
"147","SRR1794419","female","2m","WT","female_WT_2m","female_WT_2m_3R","SRR1794419_female_WT_2m_3R","SRR1794419_female_WT_2m_3R"
"148","SRR1794420","female","2m","WT","female_WT_2m","female_WT_2m_4R","SRR1794420_female_WT_2m_4R","SRR1794420_female_WT_2m_4R"
"149","SRR1794421","male","2m","WT","male_WT_2m","male_WT_2m_1R","SRR1794421_male_WT_2m_1R","SRR1794421_male_WT_2m_1R"
"150","SRR1794422","male","2m","WT","male_WT_2m","male_WT_2m_2R","SRR1794422_male_WT_2m_2R","SRR1794422_male_WT_2m_2R"
"151","SRR1794423","male","2m","WT","male_WT_2m","male_WT_2m_3R","SRR1794423_male_WT_2m_3R","SRR1794423_male_WT_2m_3R"
"152","SRR1794424","male","2m","WT","male_WT_2m","male_WT_2m_4R","SRR1794424_male_WT_2m_4R","SRR1794424_male_WT_2m_4R"
"153","SRR1794425","female","6m","WT","female_WT_6m","female_WT_6m_1R","SRR1794425_female_WT_6m_1R","SRR1794425_female_WT_6m_1R"
"154","SRR1794426","female","6m","WT","female_WT_6m","female_WT_6m_2R","SRR1794426_female_WT_6m_2R","SRR1794426_female_WT_6m_2R"
"155","SRR1794427","female","6m","WT","female_WT_6m","female_WT_6m_3R","SRR1794427_female_WT_6m_3R","SRR1794427_female_WT_6m_3R"
"156","SRR1794428","female","6m","WT","female_WT_6m","female_WT_6m_4R","SRR1794428_female_WT_6m_4R","SRR1794428_female_WT_6m_4R"
"157","SRR1794429","male","6m","WT","male_WT_6m","male_WT_6m_1R","SRR1794429_male_WT_6m_1R","SRR1794429_male_WT_6m_1R"
"158","SRR1794430","male","6m","WT","male_WT_6m","male_WT_6m_2R","SRR1794430_male_WT_6m_2R","SRR1794430_male_WT_6m_2R"
"159","SRR1794431","male","6m","WT","male_WT_6m","male_WT_6m_3R","SRR1794431_male_WT_6m_3R","SRR1794431_male_WT_6m_3R"
"160","SRR1794432","male","6m","WT","male_WT_6m","male_WT_6m_4R","SRR1794432_male_WT_6m_4R","SRR1794432_male_WT_6m_4R"
"161","SRR1794433","female","10m","WT","female_WT_10m","female_WT_10m_1R","SRR1794433_female_WT_10m_1R","SRR1794433_female_WT_10m_1R"
"162","SRR1794434","female","10m","WT","female_WT_10m","female_WT_10m_2R","SRR1794434_female_WT_10m_2R","SRR1794434_female_WT_10m_2R"
"163","SRR1794435","female","10m","WT","female_WT_10m","female_WT_10m_3R","SRR1794435_female_WT_10m_3R","SRR1794435_female_WT_10m_3R"
"164","SRR1794436","female","10m","WT","female_WT_10m","female_WT_10m_4R","SRR1794436_female_WT_10m_4R","SRR1794436_female_WT_10m_4R"
"165","SRR1794437","male","10m","WT","male_WT_10m","male_WT_10m_1R","SRR1794437_male_WT_10m_1R","SRR1794437_male_WT_10m_1R"
"166","SRR1794438","male","10m","WT","male_WT_10m","male_WT_10m_2R","SRR1794438_male_WT_10m_2R","SRR1794438_male_WT_10m_2R"
"167","SRR1794439","male","10m","WT","male_WT_10m","male_WT_10m_3R","SRR1794439_male_WT_10m_3R","SRR1794439_male_WT_10m_3R"
"168","SRR1794440","male","10m","WT","male_WT_10m","male_WT_10m_4R","SRR1794440_male_WT_10m_4R","SRR1794440_male_WT_10m_4R"
