Classifier,Age,features,params,Train_accuracy,confusion_matrix,Test_accuracy,precision,recall,f1,Genes
AdaBoost,AGE,4,"lr=0.1, ne=10",0.925,[[36 3][8  8]],0.8,0.818181818,0.923076923,0.86746988,mRNA
AdaBoost,AGE,31,"lr=0.1, ne=10",0.825,[[39 0][12  4]],0.781818182,0.764705882,1,0.866666667,mRNA
AdaBoost,AGE,47,"lr=1, ne=50",0.85,[[37 2][12  4]],0.745454545,0.755102041,0.948717949,0.840909091,mRNA
AdaBoost,AGE,76,"lr=1, ne=100",0.9,[[39 0] [14  2]],0.745454545,0.735849057,1,0.847826087,mRNA
AdaBoost,AGE,89,"lr=0.01, ne=500",0.8,[[35 4][12  4]],0.709090909,0.744680851,0.897435897,0.813953488,mRNA
Guassian_NB,10,7,smoother (0.2848035868435802),0.967948718,[[8 1][0 3]],0.916666667,1,0.888888889,0.941176471,mRNA
Guassian_NB,10,8,smoother (0.03511191734215131),0.969230769,[[9 0][0 3]],1,1,1,1,mRNA
Guassian_NB,10,11,smoother (0.0657933224657568),0.969230769,[[9 0][1 2]] ,0.916666667,0.9,1,0.947368421,mRNA
Guassian_NB,10,25,smoother (0.03511191734215131),0.969230769,[[9 0][1 2]] ,0.916666667,0.9,1,0.947368421,mRNA
Guassian_NB,10,27,smoother (0.02310129700083159),0.969230769,[[9 0][1 2]] ,0.916666667,0.9,1,0.947368421,mRNA
Guassian_NB,10,31,smoother (0.04328761281083057),0.969230769,[[9 0][0 3]] ,1,1,1,1,mRNA
Guassian_NB,2,17,no smooth,1,[[7 0][2 2]],0.818181818,0.777777778,1,0.875,mRNA
Guassian_NB,2,25,no smoother,0.984615385,[[6 1][3 1]],0.636363636,0.666666667,0.857142857,0.75,mRNA
Guassian_NB,2,26,smoother (0.15199110829529336),0.969230769,[[6 1][2 2]],0.727272727,0.75,0.857142857,0.8,mRNA
Guassian_NB,2,36,smoother (0.1873817422860384)),0.969230769,[[6 1][2 2]],0.727272727,0.75,0.857142857,0.8,mRNA
Guassian_NB,2,52,smoother (0.657933224657568),0.969230769,[[6 1][1 3]],0.818181818,0.857142857,0.857142857,0.857142857,mRNA
Guassian_NB,2,79,smoother (0.657933224657568),0.953846154,[[6 1][2 2]],0.727272727,0.75,0.857142857,0.8,mRNA
Guassian_NB,2,87,no smoother,0.953846154,[[6 1][3 1]],0.636363636,0.666666667,0.857142857,0.75,mRNA
Guassian_NB,AGE,4,smoother (0.01873817422860384),0.95,[[33 6][3  13]],0.836363636,0.916666667,0.846153846,0.88,mRNA
Guassian_NB,AGE,31,no smoother,0.9625,[[39 0][16  0]],0.709090909,0.709090909,1,0.829787234,mRNA
Guassian_NB,AGE,47,no smoother,0.975,[[39 0][16  0]],0.709090909,0.709090909,1,0.829787234,mRNA
Guassian_NB,AGE,76,no smoother,0.9625,[[39 0][16  0]],0.709090909,0.709090909,1,0.829787234,mRNA
Guassian_NB,AGE,89,no smoother,0.9875,[[39 0][16  0]],0.709090909,0.709090909,1,0.829787234,mRNA
ExtraTrees,10,7,"ne=10, ms=3",0.984615385,[[9 0][1 2]],0.916666667,0.9,1,0.947368421,mRNA
ExtraTrees,10,8,"ne=100, ms=14",0.969230769,[[9 0][1 2]],0.916666667,0.9,1,0.947368421,mRNA
ExtraTrees,10,11,"ne=50, ms=3",0.952564103,[[9 0][2 1]],0.833333333,0.818181818,1,0.9,mRNA
ExtraTrees,10,25," ne=1000, ms=9",0.969230769,[[9 0][2 1]],0.833333333,0.818181818,1,0.9,mRNA
ExtraTrees,10,27,"ne=10, ms=10",0.969230769,[[9 0][1 2]],0.916666667,0.9,1,0.947368421,mRNA
ExtraTrees,10,31,"ne=50, ms=4",0.952564103,[[9 0][0 3]],1,1,1,1,mRNA
ExtraTrees,2,17,"ne=100, ms=8",0.938461538,[[6 1][2 2]],0.727272727,0.75,0.857142857,0.8,mRNA
ExtraTrees,2,25,"ne=100, ms=11",0.969230769,[[6 1][2 2]],0.727272727,0.75,0.857142857,0.8,mRNA
ExtraTrees,2,26,"ne=100, ms=11",0.969230769,[[6 1][2 2]],0.727272727,0.75,0.857142857,0.8,mRNA
ExtraTrees,2,36,"ne=100, ms=11",0.923076923,[[7 0][2 2]],0.818181818,0.777777778,1,0.875,mRNA
ExtraTrees,2,52,"ne=10, ms=2",0.953846154,[[7 0][3 1]],0.727272727,0.7,1,0.823529412,mRNA
ExtraTrees,2,79,"ne=100, ms=7",0.969230769,[[6 1][3 1]],0.636363636,0.666666667,0.857142857,0.75,mRNA
ExtraTrees,2,87,"ne=10, ms=13",0.938461538,[[7 0][3 1]],0.727272727,0.7,1,0.823529412,mRNA
ExtraTrees,AGE,4,"ne=500, ms=7",0.9375,[[37  2][4  12]],0.890909091,0.902439024,0.948717949,0.925,mRNA
ExtraTrees,AGE,31,"ne=10, ms=6",0.85,[[39 0][15 1]],0.727272727,0.722222222,1,0.838709677,mRNA
ExtraTrees,AGE,47,"ne=1000, ms=7",0.9375,[[39 0][15 1]],0.727272727,0.722222222,1,0.838709677,mRNA
ExtraTrees,AGE,76," ne=1000, ms=9",0.925,[[39 0][16  0]],0.709090909,0.709090909,1,0.829787234,mRNA
ExtraTrees,AGE,89,"ne=100, ms=2",0.9375,[[39 0][15  1]],0.727272727,0.722222222,1,0.838709677,mRNA
RandomForest,10,7,10,0.967948718,[[9 0][1 2]],0.916666667,0.9,1,0.947368421,mRNA
RandomForest,10,8,50,0.952564103,[[9 0][1 2]],0.916666667,0.9,1,0.947368421,mRNA
RandomForest,10,11,50,0.967948718,[[9 0][2 1]],0.833333333,0.818181818,1,0.9,mRNA
