,mmu.miR.670.3p,mmu.miR.191.5p,mmu.miR.376b.3p,mmu.miR.151.3p,mmu.miR.8114,mmu.miR.218.1.3p,True Labels,Predicted Labels
0,0.9122891566265059,0.8295757935330768,0.21052631578947345,0.975609756097561,0.575,0.7000000000000002,JOHD,JOHD
1,0.2987951807228919,1.0,1.0,0.4878048780487805,0.0,0.15000000000000013,JOHD,JOHD
2,0.6732530120481925,0.6646395728270544,0.0,1.0,0.2250000000000001,0.25,JOHD,JOHD
3,0.6419277108433734,0.721966775437556,0.5789473684210527,0.5609756097560976,0.32499999999999996,0.3500000000000001,JOHD,JOHD
4,0.02650602409638525,0.0,0.5789473684210527,0.3902439024390243,0.5250000000000001,0.0,JOHD,JOHD
5,0.34457831325301225,0.990210619994067,0.36842105263157876,0.780487804878049,0.44999999999999996,0.30000000000000004,WT,JOHD
6,0.6809638554216866,0.40129041827350953,0.3157894736842104,0.8536585365853657,0.30000000000000004,0.75,JOHD,JOHD
7,1.0,0.32208543458914285,0.5263157894736841,0.36585365853658525,0.40000000000000013,0.3500000000000001,WT,JOHD
8,0.8457831325301202,0.523509344408188,0.6315789473684208,0.9024390243902438,0.625,0.3500000000000001,JOHD,JOHD
9,0.8250602409638557,0.6211806585582913,0.8421052631578947,0.14634146341463428,0.125,0.6500000000000001,JOHD,JOHD
10,0.7783132530120485,0.48138534559477897,0.1578947368421051,0.7073170731707319,0.125,0.20000000000000018,WT,JOHD
11,0.0,0.4671462474043313,0.736842105263158,0.0,1.0,1.0,JOHD,WT
