,mmu.miR.135b.5p,mmu.miR.212.3p,mmu.miR.221.3p,mmu.miR.330.3p,mmu.miR.3069.5p,mmu.let.7g.3p,mmu.miR.433.5p,mmu.miR.370.5p,mmu.miR.872.5p,mmu.miR.138.1.3p,mmu.miR.543.3p,True Labels,Predicted Labels
0,0.4444444444444444,0.8888888888888888,0.3999999999999999,0.6374045801526718,1.0000000000000004,0.9999999999999998,0.5845588235294117,0.758064516129032,0.6603773584905661,0.6791044776119404,0.49350649350649345,JOHD,WT
1,0.25,0.08080808080808088,0.3999999999999999,0.13740458015267176,0.3416844349680175,0.2222222222222221,0.2683823529411766,0.45161290322580694,0.7547169811320753,0.8208955223880596,1.0,JOHD,JOHD
2,0.3055555555555556,0.9191919191919191,0.08000000000000007,0.5858778625954195,0.604477611940299,0.5555555555555554,0.375,0.741935483870968,0.7358490566037736,0.7686567164179103,0.2727272727272734,JOHD,JOHD
3,0.4722222222222221,0.24242424242424265,1.0,0.12977099236641232,0.0730277185501067,0.33333333333333326,0.8529411764705883,0.564516129032258,1.0,0.0,0.6363636363636367,JOHD,JOHD
4,0.33333333333333326,0.0,0.2799999999999998,0.0,0.0,0.0,0.7830882352941178,0.693548387096774,0.49056603773584895,1.0,0.7402597402597406,JOHD,JOHD
5,0.2222222222222221,0.9090909090909092,0.96,0.7862595419847325,0.6295309168443501,0.05555555555555558,0.7352941176470589,1.0,0.018867924528302105,0.7388059701492535,0.20779220779220786,WT,WT
6,0.2777777777777777,1.0,0.0,0.4923664122137401,0.5740938166311307,0.38888888888888884,0.0,0.22580645161290303,0.39622641509433976,0.5820895522388061,0.7532467532467537,JOHD,JOHD
7,0.8055555555555556,0.7575757575757578,0.3999999999999999,0.7652671755725189,0.5133262260127931,0.16666666666666652,0.2904411764705883,0.48387096774193594,0.2264150943396226,0.9029850746268657,0.4415584415584419,WT,WT
8,0.38888888888888884,1.0,0.9199999999999999,1.0,0.9861407249466949,0.38888888888888884,0.6470588235294117,0.790322580645161,0.4528301886792452,0.6492537313432836,0.3896103896103895,JOHD,JOHD
9,0.9999999999999998,0.7171717171717171,0.6799999999999997,0.35114503816793885,0.3811300639658852,0.2222222222222221,1.0,0.661290322580645,0.4339622641509435,0.19402985074626855,0.14285714285714324,JOHD,JOHD
10,0.0,0.4545454545454546,0.3599999999999999,0.3358778625954195,0.9029850746268662,0.6111111111111109,0.625,0.0,0.0,0.9477611940298507,0.0,WT,WT
