"","HD2.log2FoldChange","HD2.padj","WT2.log2FoldChange","WT2.padj","HD6.log2FoldChange","HD6.padj","WT6.log2FoldChange","WT6.padj","HD10.log2FoldChange","HD10.padj","WT10.log2FoldChange","WT10.padj"
"mmu-miR-203-3p",0.000142549059792886,0.998284404864661,0.202519613143518,0.0232296102497504,0.0280125497236378,0.402430308425202,4.37903792743575e-06,0.999062253820026,0.00159494214997592,0.996470927772408,7.46220311897098e-05,0.998527777791691
"mmu-miR-24-3p",6.19040620193498e-06,0.998284404864661,0.00028434907438833,0.989120791014719,0.197343628853688,0.0171705284885752,-0.00461930546896316,0.858742482835671,0.00147086779514782,0.996470927772408,-4.17919870358287e-05,0.998527777791691
"mmu-miR-30d-3p",8.46991011339651e-05,0.998284404864661,0.252421721526423,0.00119793893976743,0.0336195298113527,0.387350372521668,-0.00102859030404225,0.999062253820026,-0.00702414191269946,0.91427821872808,0.000166352459777988,0.998527777791691
